Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
1260.0,jall27,Pantheon,7.0,146.0,0.17146666666666666,0.4286,100.0,JUNGLE,Soera,DrMundo,6.0,111.0,0.4992666666666667,0.793,200.0,JUNGLE,7352.145605195806,NA1_5320882961,0.5407333333333333,0.8083333333333333,0.6757333333333333,0.38893333333333335
1320.0,jall27,Pantheon,7.0,154.0,0.5407333333333333,0.8083333333333333,100.0,JUNGLE,Soera,DrMundo,6.0,119.0,0.6757333333333333,0.38893333333333335,200.0,JUNGLE,6608.880843229056,NA1_5320882961,0.49193333333333333,0.2584666666666667,0.2769333333333333,0.6561333333333333
1380.0,jall27,Pantheon,7.0,158.0,0.49193333333333333,0.2584666666666667,100.0,JUNGLE,Soera,DrMundo,6.0,123.0,0.2769333333333333,0.6561333333333333,200.0,JUNGLE,6780.991815361525,NA1_5320882961,0.27473333333333333,0.47673333333333334,0.26826666666666665,0.4072
1440.0,jall27,Pantheon,7.0,169.0,0.27473333333333333,0.47673333333333334,100.0,JUNGLE,Soera,DrMundo,6.0,124.0,0.26826666666666665,0.4072,200.0,JUNGLE,1047.5008353218627,NA1_5320882961,0.3910666666666667,0.8432666666666667,0.7758666666666667,0.7409333333333333
1500.0,jall27,Pantheon,7.0,185.0,0.3910666666666667,0.8432666666666667,100.0,JUNGLE,Soera,DrMundo,6.0,124.0,0.7758666666666667,0.7409333333333333,200.0,JUNGLE,5972.621618686388,NA1_5320882961,0.6675333333333333,0.2936,0.6603333333333333,0.3459333333333333
1560.0,jall27,Pantheon,7.0,185.0,0.6675333333333333,0.2936,100.0,JUNGLE,Soera,DrMundo,6.0,128.0,0.6603333333333333,0.3459333333333333,200.0,JUNGLE,792.394472469363,NA1_5320882961,0.5735333333333333,0.2622,0.7608,0.4497333333333333
1620.0,jall27,Pantheon,8.0,193.0,0.5735333333333333,0.2622,100.0,JUNGLE,Soera,DrMundo,6.0,128.0,0.7608,0.4497333333333333,200.0,JUNGLE,3975.35533003026,NA1_5320882961,0.872,0.7461333333333333,0.8228,0.7884666666666666
1680.0,jall27,Pantheon,12.0,197.0,0.872,0.7461333333333333,100.0,JUNGLE,Soera,DrMundo,6.0,136.0,0.8228,0.7884666666666666,200.0,JUNGLE,973.5856408144072,NA1_5320882961,0.9535333333333333,0.9556,0.8228,0.7884666666666666
0.0,Daakroth,Khazix,0.0,0.0,0.03953333333333333,0.030933333333333334,100.0,JUNGLE,craz,Trundle,0.0,0.0,0.9692666666666667,0.9596,200.0,JUNGLE,19711.311879223056,NA1_5320907549,0.32033333333333336,0.619,0.41633333333333333,0.6910666666666667
60.0,Daakroth,Khazix,0.0,0.0,0.32033333333333336,0.619,100.0,JUNGLE,craz,Trundle,0.0,0.0,0.41633333333333333,0.6910666666666667,200.0,JUNGLE,1800.6001777185295,NA1_5320907549,0.1666,0.5549333333333333,0.4242,0.8344
